product_id,category,brand,season,size,color,original_price,markdown_percentage,current_price,purchase_date,stock_quantity,customer_rating,is_returned,return_reason,return_date
FB000001,Dresses,Banana Republic,Summer,XXL,Pink,91.63,0.0,91.63,2025-11-23,6,4.2,False,,
FB000002,Outerwear,Banana Republic,Winter,XS,Green,95.93,0.0,95.93,2024-01-28,38,4.0,False,,
FB000003,Dresses,Forever21,Fall,L,Brown,97.29,55.2,43.59,2025-12-15,10,4.0,False,,
FB000004,Shoes,Mango,Fall,M,Black,54.84,0.0,54.84,2025-09-10,22,3.4,True,Size Issue,2025-10-04
FB000005,Tops,Banana Republic,Winter,XS,Purple,49.32,18.3,40.29,2025-08-14,23,4.8,False,,
FB000006,Accessories,Zara,Fall,M,Black,70.6,47.6,36.99,2025-10-12,29,3.3,False,,
FB000007,Bottoms,Ann Taylor,Spring,S,Beige,62.04,53.0,29.16,2025-10-12,38,4.4,True,Size Issue,2025-10-18
FB000008,Tops,Forever21,Spring,XXL,Purple,41.96,0.0,41.96,2024-02-27,49,3.7,False,,
FB000009,Accessories,Ann Taylor,Winter,M,Black,28.71,57.5,12.2,2024-08-05,20,3.9,False,,
FB000010,Tops,Gap,Fall,M,Red,44.66,8.9,40.69,2025-03-14,37,4.5,False,,
FB000011,Tops,Ann Taylor,Fall,S,Purple,69.35,37.2,43.55,2025-10-04,9,4.7,False,,
FB000012,Dresses,Forever21,Summer,L,Blue,151.3,8.8,137.99,2024-01-12,35,3.2,False,,
FB000013,Accessories,Uniqlo,Spring,XS,Pink,43.26,19.3,34.91,2024-09-26,46,4.1,False,,
FB000014,Bottoms,Banana Republic,Spring,XXL,Purple,103.08,0.0,103.08,2024-06-14,48,4.1,False,,
FB000015,Outerwear,Zara,Spring,L,Green,99.02,19.8,79.41,2024-09-02,19,3.1,True,Color Mismatch,2024-09-05
FB000016,Accessories,Gap,Summer,XL,Red,23.35,13.2,20.27,2025-06-24,16,4.3,False,,
FB000017,Tops,H&M,Fall,XXL,Pink,59.9,27.5,43.43,2025-04-07,33,3.3,True,Size Issue,2025-04-18
FB000018,Accessories,H&M,Fall,XS,Black,61.01,0.0,61.01,2024-02-02,4,3.8,False,,
FB000019,Accessories,H&M,Spring,XXL,Gray,28.93,0.0,28.93,2025-08-13,36,3.8,False,,
FB000020,Tops,Forever21,Fall,XS,Black,85.9,11.2,76.28,2024-02-25,46,3.9,False,,
FB000021,Dresses,Banana Republic,Summer,L,Navy,186.1,0.0,186.1,2024-07-13,12,3.5,False,,
FB000022,Bottoms,Forever21,Fall,M,Gray,59.98,48.9,30.65,2024-04-10,35,4.4,True,Color Mismatch,2024-05-07
FB000023,Accessories,Banana Republic,Fall,S,Blue,46.57,0.0,46.57,2024-03-01,25,3.0,True,Size Issue,2024-03-14
FB000024,Shoes,Gap,Spring,L,Purple,145.9,7.8,134.52,2024-02-29,13,4.2,False,,
FB000025,Outerwear,Zara,Spring,XS,Green,179.31,17.8,147.39,2024-02-28,10,3.6,False,,
FB000026,Accessories,Mango,Summer,XL,Black,58.89,0.0,58.89,2025-08-06,7,4.0,False,,
FB000027,Outerwear,Zara,Summer,L,Beige,179.22,19.0,145.17,2025-11-16,13,4.1,False,,
